name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 2012ba,Ic,,,E328-G46,,SBc,5.8,53,101,,,,1.32,SUPERNOVA TYPE I
SN 2010W,,,,E320-G35,,Sc pec:,4.9,46,7,,,13.58,1.34,SUPERNOVA
SN 2012gw,Ia,,,E316-G38,,S0/a,-1,39,81,,,14.12,1.13,SUPERNOVA TYPE I
SN 2008bq,Ia,,,E308-G25,,Sb,2.7,73,75,,,14.78,1.15,SUPERNOVA TYPE I
SN 2011bb,Ia,,,A113527-3800,,,,,,,,,,SUPERNOVA TYPE I
SN 1998ek,,,,A063630-3758,,,,,,,,,,SUPERNOVA
SN 1982L,II:,,,NGC7713,G,SBcd,6.9,67,168,,,11.48,1.65,SUPERNOVA TYPE II
SN 2007iw,,,Y,E325-G43,,Sc pec:,5.1,37,115,,,14.49,1.19,SUPERNOVA
SN 2013M,Ia,,Y,E325-G43,,Sc pec:,5.1,37,115,,,14.49,1.19,SUPERNOVA TYPE I
SN 2007gj,,,,E298-G28,,Sbc,4,63,23,,,13.78,1.44,SUPERNOVA
SN 1984H,,,,E308-G05,G,S0/a,-0.9,72,9,,,15.14,1,SUPERNOVA
SN 1983Q,,,,E294-G02,G,SBb,3,78,166,,,15.32,1.09,SUPERNOVA
SN 2010da,?,,,NGC 300,,Sd,7,45,111,,,8.72,2.29,SUPERNOVA
SN 2012J,Ib/c,,,E386-G39,,SBc,5,51,15,,,15.05,1.18,SUPERNOVA TYPE I
SN 2008fl,Ia,,,NGC6805,,E1,-5,,163,,,14.3,1.04,SUPERNOVA TYPE I
SN 2010dv,,,,NGC3903,,Sc pec:,4.7,27,133,,,13.53,1.05,SUPERNOVA
SN 2004fb,II,,,E340-G07,,S?,,27,34,,,14.02,1.07,SUPERNOVA TYPE II
SN 1993af,Ia,,,NGC1808,,SBa,1.2,60,133,,,10.75,1.86,SUPERNOVA TYPE I
SN 2014dw,II,,,NGC3568,,SBc,5,64,6,,,12.92,1.43,SUPERNOVA TYPE II
SN 1992aq,Ia,0.1,,A230434-3720,,Sa:,,,,,,,,SUPERNOVA TYPE I
SN 2013hf,II,,,E365-G16,,SBab,2.2,66,148,,,15.09,1.13,SUPERNOVA TYPE II
SN 2004ee,Ia,,,E298-G07,,S?,,34,0,,,14.82,1.07,SUPERNOVA TYPE I
SN 2011gt,Ia,,,IC4913,,S0,-2.5,49,130,,,13.98,1.16,SUPERNOVA TYPE I
SN 2012at,Ic,,,M-06-11-07,,SBb,1.1,68,105,,,15.04,1.25,SUPERNOVA TYPE I
SN 1992bs,Ia,,,A032927-3716,,SBb,,,,,,,,SUPERNOVA TYPE I
SN 2004cz,II P,,,E407-G09,,SBd:,7,68,30,,,14.45,1.29,SUPERNOVA TYPE II
SN 2006mr,Ia,,Y,NGC1316,,S0,-1.9,56,50,,,9.37,2.05,SUPERNOVA TYPE I
SN 1980N,Ia,,Y,NGC1316,G,S0,-1.9,56,50,,,9.37,2.05,SUPERNOVA TYPE I
SN 1981D,Ia*,,Y,NGC1316,G,S0,-1.9,56,50,,,9.37,2.05,SUPERNOVA TYPE I
SN 2006dd,Ia,,Y,NGC1316,,S0,-1.9,56,50,,,9.37,2.05,SUPERNOVA TYPE I
