name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 1923A,II P:,,Y,NGC5236,,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA TYPE II
SN 1957D,,,Y,NGC5236,,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA
SN 2004fa,Ia,,,M-05-48-05,,,,0,,,,15.15,0.64,SUPERNOVA TYPE I
SN 2001bb,Ic,,,IC4319,,Sbc,4,70,70,,,14.41,1.18,SUPERNOVA TYPE I
SN 2004cb,Ia,,,E445-G20,,Sc,6.3,82,15,,,15.56,1.22,SUPERNOVA TYPE I
SN 1990ac,Ia,,,A035309-2944,,,,,,,,,,SUPERNOVA TYPE I
SN 2003lz,,,,E428-G13,,S?,,74,125,,,15.08,1.14,SUPERNOVA
SN 2007cj,Ia,,,IC2531,,Sc:,5.3,85,75,,,12.9,1.84,SUPERNOVA TYPE I
SN 2009au,IIn,,,E443-G21,,Scd:,6,81,162,,,14.64,1.28,SUPERNOVA TYPE II
SN 2011fh,IIn,,,NGC4806,,SBc,4.9,34,52,,,13.43,1.07,SUPERNOVA TYPE II
SN 1991bf,Ia,,,E471-G30,,S0,-2,90,152,,,15.25,1.04,SUPERNOVA TYPE I
SN 2001io,Ia,0.19,,A004553-2926,,,,,,,,,,SUPERNOVA TYPE I
SN 2007uz,Ia,,,PGC0034755,,S0/a,-0.2,52,41,,,14.31,1.05,SUPERNOVA TYPE I
SN 2007ch,II,,Y,NGC6000,,SBbc:,4,79,154,,,13.18,1.27,SUPERNOVA TYPE II
SN 2010kx,II P,,,NGC7645,,SBc,5,32,1,,,13.87,1.16,SUPERNOVA TYPE II
SN 2010as,Ib/c,,Y,NGC6000,,SBbc:,4,79,154,,,13.18,1.27,SUPERNOVA TYPE I
SN 2008fp,Ia,,,E428-G14,,S0 pec,-1.6,53,135,,,13.29,1.27,SUPERNOVA TYPE I
SN 1998ch,II,,,A132913-2917,,,,,,,,,,SUPERNOVA TYPE II
SN 1971C,,,,NGC3904,G,E,-5,,8,,,11.78,1.45,SUPERNOVA
SN 2008cq,Ia,,,A142109-2915,,,,,,,,,,SUPERNOVA TYPE I
SN 1996aj,Ia,0.11,,A132906-2914,,,,,,,,,,SUPERNOVA TYPE I
SN 1998ck,Ia,,,E434-G20,,SBa,1,81,3,,,16.27,1.07,SUPERNOVA TYPE I
SN 1983C,,,,A115412-2904,G,S,,,,,,,,SUPERNOVA
SN 1982A,,,,M-05-28-17,G,,,,,,p,16,,SUPERNOVA
SN 2014dq,II,,,E467-G51,,Scd:,6,84,100,,,14.35,1.45,SUPERNOVA TYPE II
SN 2009ip,IIn?,,,NGC7259,,Sb,3,34,49,,,13.84,1.05,SUPERNOVA TYPE II
SN 2004ev,Ia,,,E459-G13,,Sc,5.4,81,99,,,16.14,0.99,SUPERNOVA TYPE I
SN 2008hg,II P,,,IC1720,,Sbc,4,43,164,,,13.92,1.07,SUPERNOVA TYPE II
SN 2003bu,Ic,,,NGC5393,,SBa,1,42,155,,,14.87,0.96,SUPERNOVA TYPE I
SN 1997cm,?,,,A125337-2848,,,,,,,,,,SUPERNOVA
SN 2013gp,Ia,0.236,,A032655-2846,,,,,,:,,,,SUPERNOVA TYPE I
SN 1999ei,Ia,,,A013352-2841,,,,,,,,,,SUPERNOVA TYPE I
SN 2010ih,Ia,,,NGC2325,,E4,-5,,6,,,12.3,1.52,SUPERNOVA TYPE I
SN 2013go,Ia pec,,,A032744-2829,,,,,,:,,,,SUPERNOVA TYPE I
SN 1994ab,Ia,,,M-05-50-08,,Sb,3,90,17,,,15.47,1.12,SUPERNOVA TYPE I
SN 2012dn,Ia,,,E462-G16,,Scd,6,46,118,,,13.59,1.23,SUPERNOVA TYPE I
SN 2009kw,Ia,0.24,,A033823-2815,,,,,,,,,,SUPERNOVA TYPE I
SN 2000P,IIn,,,NGC4965,,Sd,6.8,39,,,,12.81,1.42,SUPERNOVA TYPE II
SN 1999gt,Ia:,0.274,,A033210-2806,,,,,,,,,,SUPERNOVA TYPE I
SN 2009ku,Ia pec,,,A032953-2805,,,,,,,,,,SUPERNOVA TYPE I
SN 2012gt,Ia,0.491,,A033308-2805,,,,,,,,,,SUPERNOVA TYPE I
SN 2011bf,Ia,,,A134903-2803,,,,,,,,,,SUPERNOVA TYPE I
SN 2013gc,IIn,,Y,E430-G20,,Sd:,7,71,110,,,,1.36,SUPERNOVA TYPE II
SN 2013ak,IIb,,Y,E430-G20,,Sd:,7,71,110,,,,1.36,SUPERNOVA TYPE II
SN 2012dh,II P,,,E443-G80,,SBm,8.5,52,148,,,14.14,1.16,SUPERNOVA TYPE II
SN 1985C,I:,,,E436-G36,G,Sb,3,90,25,,,16.11,1.14,SUPERNOVA TYPE I
SN 2003br,II,,,M-05-34-18,,Scd:,5.8,61,119,,,13.88,1.38,SUPERNOVA TYPE II
SN 1993ah,Ia,,,E471-G27,,S0,-2,90,2,,,15.52,1.06,SUPERNOVA TYPE I
SN 2003lt,,,,A033242-2755,,,,,,,,,,SUPERNOVA
SN 1962D,,,,M-05-25-12,,Sc,6,60,,,p,17.4,0.52,SUPERNOVA
SN 2003aj,Ia,1.307,,A033244-2755,,,,,,,,,,SUPERNOVA TYPE I
SN 2003lu,,,,A033236-2755,,,,,,,,,,SUPERNOVA
SN 1984C,,,,A133830-2755,G,,,,,,,,,SUPERNOVA
SN 2003ak,Ia,1.551,,A033246-2754,,,,,,,,,,SUPERNOVA TYPE I
SN 2004gi,Ia,,Y,M-05-25-32,,SBbc,3.9,34,,,,14.74,0.96,SUPERNOVA TYPE I
SN 2009ky,Ia,0.26,,A033428-2754,,,,,,,,,,SUPERNOVA TYPE I
SN 2002fz,,,,A033248-2754,,,,,,,,,,SUPERNOVA
SN 1965D,,,Y,M-05-25-32,,SBbc,3.9,34,,,,14.74,0.96,SUPERNOVA
SN 2002ga,,,,A033232-2753,,,,,,,,,,SUPERNOVA
SN 2012fa,Ia pec,0.4,,A033459-2751,,,,,,:,,,,SUPERNOVA TYPE I
SN 1978C,II,,Y,M-05-09-22,G,SBc,5.1,54,138,,,13.67,1.22,SUPERNOVA TYPE II
SN 2000ex,II,,Y,M-05-09-22,,SBc,5.1,54,138,,,13.67,1.22,SUPERNOVA TYPE II
SN 1999gu,II,0.147,,A033300-2751,,,,,,,,,,SUPERNOVA TYPE II
SN 2012fq,Ia,0.67,,A033232-2751,,,,,,,,,,SUPERNOVA TYPE I
SN 2001ip,Ia,0.54,,A033113-2750,,,,,,,,,,SUPERNOVA TYPE I
SN 2002kb,,,,A033242-2750,,,,,,,,,,SUPERNOVA
SN 2002fv,,,,A033219-2749,,,,,,,,,,SUPERNOVA
SN 2002hs,,,,A033218-2748,,,,,,,,,,SUPERNOVA
SN 2002lg,,,,A033235-2747,,,,,,,,,,SUPERNOVA
SN 1990K,II,,,NGC 150,,SBb,3.2,65,118,,,11.97,1.59,SUPERNOVA TYPE II
SN 2002fw,Ia,1.3,,A033237-2746,,,,,,,,,,SUPERNOVA TYPE I
SN 2000fc,Ia,0.42,,A005833-2746,,,,,,,,,,SUPERNOVA TYPE I
SN 1984S,,,,NGC3336,,SBc,5,36,123,,,12.94,1.29,SUPERNOVA
SN 2002hp,Ia,1.305,,A033224-2746,,,,,,,,,,SUPERNOVA TYPE I
SN 2004R,,,,A033241-2746,,,,,,,,,,SUPERNOVA
SN 2002ke,,,,A033158-2745,,,,,,,,,,SUPERNOVA
SN 2002fx,Ia,1.4,,A033206-2744,,,,,,,,,,SUPERNOVA TYPE I
SN 2003al,,,,A033205-2744,,,,,,,,,,SUPERNOVA
SN 1997cl,IIn,,,A135418-2744,,,,,,,,,,SUPERNOVA TYPE II
SN 2002kd,Ia,0.735,,A033222-2744,,,,,,,,,,SUPERNOVA TYPE I
SN 2002hq,,,,A033230-2743,,,,,,,,,,SUPERNOVA
SN 2006do,Ia,,,E470-G18,,SB0,-0.6,36,126,,,14.89,1.11,SUPERNOVA TYPE I
SN 2001gh,II,0.16,,A005703-2742,,,,,,:,,,,SUPERNOVA TYPE II
SN 2002fy,,,,A033218-2741,,,,,,,,,,SUPERNOVA
SN 2002hr,Ia,0.526,,A033222-2741,,,,,,,,,,SUPERNOVA TYPE I
SN 2002ht,,,,A033209-2741,,,,,,,,,,SUPERNOVA
SN 1999ey,IIn,,,A005803-2740,,,,,,,,,,SUPERNOVA TYPE II
SN 2002kc,Ia,0.216,,A033234-2739,,,,,,,,,,SUPERNOVA TYPE I
SN 2009lp,Ia,,,A103728-2739,,,,,,:,,,,SUPERNOVA TYPE I
SN 2010lm,Ia,,,A100357-2738,,,,,,,,,,SUPERNOVA TYPE I
SN 1977I,,,,M-05-03-26,,Sab,2,43,,,,15.33,0.88,SUPERNOVA
SN 2001fz,II P,,,NGC2280,,Scd,6,61,163,,,10.9,1.8,SUPERNOVA TYPE II
SN 2012fn,Ic,0.284,,A033528-2736,,,,,,,,,,SUPERNOVA TYPE I
SN 2011Y,Ia,,,A081258-2734,,,,,,:,,,,SUPERNOVA TYPE I
SN 2006mq,Ia,,,E494-G26,,Sb pec:,3,47,155,,,12.63,1.68,SUPERNOVA TYPE I
SN 2005dw,II,,,M-05-52-49,,Sab pec:,2,74,39,,,14.19,1.2,SUPERNOVA TYPE II
SN 2002hf,Ic,,,M-05-03-20,,Sc,4.9,21,88,,,13.51,1.23,SUPERNOVA TYPE I
SN 2012ez,Ia,0.348,,A033516-2729,,,,,,,,,,SUPERNOVA TYPE I
SN 2010jq,Ia,,,A103636-2728,,,,,,,,,,SUPERNOVA TYPE I
SN 2007rv,Ia,,,NGC 689,,Sab pec:,1.6,49,68,,,14.63,0.99,SUPERNOVA TYPE I
SN 2002hc,II L,,,NGC2559,,SBbc pec,3.9,63,6,,,11.86,1.57,SUPERNOVA TYPE II
SN 2012hn,Ic pec,,,NGC2272,,S0,-3,49,123,,,12.88,1.39,SUPERNOVA TYPE I
SN 2012gu,Ic,0.45,,A035240-2726,,,,,,,,,,SUPERNOVA TYPE I
SN 1986B,I,,,NGC5101,G,S0/a,0.1,33,,,,11.58,1.74,SUPERNOVA TYPE I
SN 2012fx,Ia pec,,,E417-G03,,Sc:,5,32,,,,13.48,1.24,SUPERNOVA TYPE I
SN 1999cz,Ic,,,NGC5078,,Sa:,1,61,148,,,12,1.6,SUPERNOVA TYPE I
SN 2008fd,Ib,,,E466-G24,,SBb,3,55,128,,,14.02,1.08,SUPERNOVA TYPE I
SN 2012gv,Ia,0.57,,A033137-2721,,,,,,:,,,,SUPERNOVA TYPE I
SN 2012gs,Ia,0.525,,A033338-2720,,,,,,,,,,SUPERNOVA TYPE I
SN 1997by,Ia,,,IC4252,,S0:,-2.7,56,135,,,14.32,1.11,SUPERNOVA TYPE I
SN 2012fo,II,0.238,,A033138-2713,,,,,,,,,,SUPERNOVA TYPE II
SN 1998ez,II,,,A035732-2712,,,,,,,,,,SUPERNOVA TYPE II
SN 2012fp,IIn,0.644,,A033243-2710,,,,,,,,,,SUPERNOVA TYPE II
SN 2007cv,,,,IC2597,,E,-4,,4,,,12.84,1.41,SUPERNOVA
SN 2007ea,Ic,,,A155346-2702,,,,,,,,,,SUPERNOVA TYPE I
SN 2010bv,Ia,,,E533-G04,,Sc:,4.8,82,151,,,14.33,1.37,SUPERNOVA TYPE I
SN 1996X,Ia,,Y,NGC5061,,E0,-5,,,,,11.28,1.55,SUPERNOVA TYPE I
SN 2005cn,Ia,,Y,NGC5061,,E0,-5,,,,,11.28,1.55,SUPERNOVA TYPE I
SN 1998bt,,,,A132541-2646,,,,,,,,,,SUPERNOVA
SN 2008V,IIb,,,NGC1591,,SBab,2,50,30,,,13.79,1.08,SUPERNOVA TYPE II
SN 2005lr,Ic:,,Y,E492-G02,,Sb pec,3.1,46,143,,,13.14,1.33,SUPERNOVA TYPE I
SN 2009ag,Ia,,Y,E492-G02,,Sb pec,3.1,46,143,,,13.14,1.33,SUPERNOVA TYPE I
SN 1992J,Ia,,,A100900-2638,,E/S0,,,,,,,,SUPERNOVA TYPE I
SN 2000fv,,,,M-04-35-11,,Sb,2.7,53,130,,,15.66,0.83,SUPERNOVA
SN 2008gr,II P,,,IC1579,,SBbc:,4.5,49,6,,,14.71,0.97,SUPERNOVA TYPE II
SN 2008cf,Ia,,,A140732-2633,,,,,,,,,,SUPERNOVA TYPE I
SN 2012bk,Ib,,,A135451-2630,,,,,,,,,,SUPERNOVA TYPE I
SN 2005mu,Ia,,,A213552-2627,,,,,,,,,,SUPERNOVA TYPE I
SN 1984G,,,,A102924-2627,G,,,,,,,,,SUPERNOVA
SN 1998ao,II,,,A100714-2623,,,,,,,,,,SUPERNOVA TYPE II
SN 1996N,Ib,,,NGC1398,,SBab,2,48,100,,,10.57,1.85,SUPERNOVA TYPE I
SN 2004Q,II,,,E507-G11,,SBbc pec,4,63,7,,,14.63,1.08,SUPERNOVA TYPE II
SN 1985E,II,,,E510-G48,G,S0/a,0,68,24,,,15.2,1.05,SUPERNOVA TYPE II
SN 1991U,Ia,,,IC4232,,Sbc,3.8,77,2,,,14.62,1.05,SUPERNOVA TYPE I
SN 2003hv,Ia,,,NGC1201,,S0:,-2,54,7,,,11.67,1.56,SUPERNOVA TYPE I
SN 2003if,Ia,,,NGC1302,,S0/a,0,17,172,,,11.6,1.59,SUPERNOVA TYPE I
SN 2000cu,Ia,,,E525-G04,,Sb,2.5,51,114,,,13.96,1,SUPERNOVA TYPE I
SN 2011kj,Ia,,,A051121-2553,,,,,,,,,,SUPERNOVA TYPE I
SN 2013eg,Ia,,,E501-G84,,S0,-2,39,155,,,14.23,1.15,SUPERNOVA TYPE I
SN 1998ce,II,,,M-04-24-19,,SBdm:,8.2,37,140,,,14.34,1.3,SUPERNOVA TYPE II
SN 2009jy,Ic,,,NGC3208,,Sbc,4.5,29,20,,,13.42,1.26,SUPERNOVA TYPE I
SN 1980O,II,,,NGC1255,G,SBbc,4.5,51,117,,,11.59,1.61,SUPERNOVA TYPE II
SN 2006T,IIb,,Y,NGC3054,,Sb,3,52,118,,,12.34,1.58,SUPERNOVA TYPE II
SN 2004de,,,Y,NGC3054,,Sb,3,52,118,,,12.34,1.58,SUPERNOVA
SN 2014cp,Ic,,,E479-G01,,SBcd:,5.5,37,16,,,14.07,1.21,SUPERNOVA TYPE I
SN 2006lu,Ia,,,A091517-2536,,,,,,,,,,SUPERNOVA TYPE I
SN 2014I,Ia,,,E487-G36,,S0,-2,47,32,,,14.47,1.14,SUPERNOVA TYPE I
SN 2001df,II,,,M-04-51-05,,Sc,5,58,136,,,15.06,0.99,SUPERNOVA TYPE II
SN 2003gj,Ia pec,,,NGC7017,,S0,-1.8,44,90,,,14.69,0.84,SUPERNOVA TYPE I
SN 2002et,Ia,,,M-04-47-10,,Sc:,5.3,68,176,,,14.73,1.17,SUPERNOVA TYPE I
SN 2002jp,Ic,,,NGC3313,,SBab,2.4,36,55,,,12.52,1.59,SUPERNOVA TYPE I
SN 2012H,Ia,,,IC 411,,S0,-2.2,44,141,,,14.13,1.07,SUPERNOVA TYPE I
SN 1940E,I,,,NGC 253,G,SBc,5.1,84,52,,,7.92,2.43,SUPERNOVA TYPE I
SN 1997cr,II,,,A210548-2513,,,,,,,,,,SUPERNOVA TYPE II
SN 2009hk,Ia,,,M-04-48-26,,,,,105,,,,,SUPERNOVA TYPE I
SN 2005hh,Ia,,,A041305-2504,,,,,,:,,,,SUPERNOVA TYPE I
SN 2005ke,Ia,,,NGC1371,,Sa,1,46,135,,,11.57,1.75,SUPERNOVA TYPE I
SN 1994X,Ia,,,A001520-2453,,,,,,,,,,SUPERNOVA TYPE I
SN 2009mw,II P,,Y,E499-G05,,Sc:,4.5,74,145,,,13.73,1.4,SUPERNOVA TYPE II
SN 2008H,II P,,Y,E499-G05,,Sc:,4.5,74,145,,,13.73,1.4,SUPERNOVA TYPE II
SN 2014eh,Ic,,Y,NGC6907,,SBbc,4,42,46,,,11.9,1.56,SUPERNOVA TYPE I
SN 2004bv,Ia,,Y,NGC6907,,SBbc,4,42,46,,,11.9,1.56,SUPERNOVA TYPE I
SN 1984V,,,Y,NGC6907,G,SBbc,4,42,46,,,11.9,1.56,SUPERNOVA
SN 2008fq,II,,Y,NGC6907,,SBbc,4,42,46,,,11.9,1.56,SUPERNOVA TYPE II
SN 2004be,II,,,E499-G34,,SBm,9,27,153,,,14.89,1.05,SUPERNOVA TYPE II
SN 2008ho,II P,,Y,NGC 922,,SBcd,6,36,172,,,12.45,1.29,SUPERNOVA TYPE II
SN 2002gw,II,,Y,NGC 922,,SBcd,6,36,172,,,12.45,1.29,SUPERNOVA TYPE II
SN 2013cg,Ia,,,NGC2891,,S0:,-3,21,,,,13.51,1.18,SUPERNOVA TYPE I
SN 2010ir,IIb,,,E491-G12,,Sc,5,77,166,,,14.81,1.28,SUPERNOVA TYPE II
SN 2007cg,Ia,,,E508-G75,,Sbc,3.9,73,173,,,16.13,0.89,SUPERNOVA TYPE I
SN 2005an,II:,,,E506-G11,,S0,-2,74,176,,,15.19,1.08,SUPERNOVA TYPE II
SN 2003ib,II,,,M-04-48-15,,Sb?,3.3,67,139,,,14.87,1.05,SUPERNOVA TYPE II
SN 1997eh,Ia,,,A054904-2429,,,,,,:,,,,SUPERNOVA TYPE I
SN 2008fu,Ia,,,E480-IG21,,Sbc,4.2,53,106,,,16.61,0.79,SUPERNOVA TYPE I
SN 2005gn,IIn,,,E488-G30,,Sc,4.5,49,39,,,14.86,1.03,SUPERNOVA TYPE II
SN 2003gi,Ia,,,IC1561,,SB?,,64,97,,,14.48,1.09,SUPERNOVA TYPE I
SN 2005di,Ia,,,M-04-52-46,,Sbc,3.9,70,142,,,14.75,1.07,SUPERNOVA TYPE I
SN 2003E,II,,,M-04-12-04,,Sbc,4.3,84,142,,,15.65,1.22,SUPERNOVA TYPE II
SN 2000dc,II,,,E527-G19,,SBbc:,4.4,52,125,,,13.45,1.16,SUPERNOVA TYPE II
SN 2010lq,Ia,,,E495-G16,,S0/a,-0.4,53,179,,,14.57,1.01,SUPERNOVA TYPE I
SN 1984T,,,,A055006-2401,G,,,,,,,,,SUPERNOVA
SN 2002av,Ia,,,E489-G07,,,,29,11,,,15.41,0.85,SUPERNOVA TYPE I
SN 2004af,Ic,,,A053803-2359,,,,,,,,,,SUPERNOVA TYPE I
SN 2007go,Ib,,,E475-G16,,SBab pec,2.2,52,57,,,14.3,0.98,SUPERNOVA TYPE I
SN 1992ag,Ia,,,E508-G67,,Sc,5,90,101,,,15.28,1.01,SUPERNOVA TYPE I
SN 2006cn,II,,,A132149-2351,,,,,,,,,,SUPERNOVA TYPE II
SN 2006is,Ia,,,A051734-2346,,,,,,,,,,SUPERNOVA TYPE I
SN 2000fp,II,0.3,,A053801-2346,,,,,,,,,,SUPERNOVA TYPE II
SN 1998A,II pec,,Y,IC2627,,SBbc,4.4,34,,,,12.63,1.42,SUPERNOVA TYPE II
SN 1994R,II,,Y,IC2627,G,SBbc,4.4,34,,,,12.63,1.42,SUPERNOVA TYPE II
SN 2001gj,II,0.27,,A053807-2342,,,,,,,,,,SUPERNOVA TYPE II
SN 1995ad,II,,,NGC2139,,Scd,6,42,140,,,11.99,1.42,SUPERNOVA TYPE II
SN 1981H,,,,A201900-2340,G,,,,,,,,,SUPERNOVA
SN 2013hv,Ic,,,E501-G102,,SBc:pec,4.5,37,,,,13.41,1.16,SUPERNOVA TYPE I
SN 2011co,II P,,,NGC2815,,SBb,2.9,71,10,,,12.81,1.54,SUPERNOVA TYPE II
SN 2006et,Ia,,,NGC 232,,SBa,1.1,36,172,,,14.57,0.98,SUPERNOVA TYPE I
SN 2004gh,II,,,M-04-25-06,,SB0/a,-0.1,58,152,,,14.39,1.04,SUPERNOVA TYPE II
SN 2007hf,Ia,,,A023728-2332,,,,,,,,,,SUPERNOVA TYPE I
SN 2006in,II,,,A224415-2327,,,,,,,,,,SUPERNOVA TYPE II
SN 2008K,II,,,E504-G05,,Sb,3,60,95,,,15.32,0.95,SUPERNOVA TYPE II
SN 2003em,Ia,,Y,E478-G06,,Sbc,4,58,104,,,13.69,1.26,SUPERNOVA TYPE I
SN 2009le,Ia,,Y,E478-G06,,Sbc,4,58,104,,,13.69,1.26,SUPERNOVA TYPE I
SN 2007cb,Ia,,,E510-G31,,Sab,2.2,59,73,,,15.85,0.95,SUPERNOVA TYPE I
SN 2012fd,Ia,,,E488-G51,,Sa,1,63,130,,,14.24,1.26,SUPERNOVA TYPE I
SN 2004ds,II P:,,,NGC 808,,SBbc,3.7,61,7,,,14.14,1.09,SUPERNOVA TYPE II
SN 2007ha,Ia,0.17,,A004601-2314,,,,,,,,,,SUPERNOVA TYPE I
SN 2004ep,II,,,IC2152,,SBa,1.2,46,55,,,13.5,1.23,SUPERNOVA TYPE II
SN 2005kg,Ia,,,M-04-50-07,,E/S0,,24,140,,,,0.69,SUPERNOVA TYPE I
SN 1998bn,Ia,,,NGC4462,,SBab,2,68,124,,,12.79,1.51,SUPERNOVA TYPE I
SN 2007fq,,,,M-04-48-19,,S0,-2,42,40,,,14.58,1.15,SUPERNOVA
SN 2000dd,Ia,,,A203500-2305,,,,,,,,,,SUPERNOVA TYPE I
SN 2006im,II,,,A220758-2305,,,,,,,,,,SUPERNOVA TYPE II
SN 2007Y,Ib,,Y,NGC1187,,SBc,5.1,46,130,,,11.31,1.74,SUPERNOVA TYPE I
SN 1982R,Ib:,,Y,NGC1187,,SBc,5.1,46,130,,,11.31,1.74,SUPERNOVA TYPE I
SN 1993K,II,,,NGC2223,G,SBb,3.2,29,175,,,12.63,1.47,SUPERNOVA TYPE II
SN 2002dh,II,,,A152449-2245,,,,,,,,,,SUPERNOVA TYPE II
SN 2002dt,?,,,E516-G05,,Sbc,3.8,49,134,,,15.2,0.88,SUPERNOVA
SN 2013cy,Ia,,Y,M-04-52-18,,SBbc,4.1,21,,,,14.54,1.16,SUPERNOVA TYPE I
SN 1937B,,,Y,M-04-52-18,G,SBbc,4.1,21,,,,14.54,1.16,SUPERNOVA
SN 2004dr,II P,,,E479-G42,,SBm pec,9.2,61,21,,,14.41,1.07,SUPERNOVA TYPE II
SN 2006dc,IIn,,,IC4596,,SBab,2.1,72,54,,,14.71,1.17,SUPERNOVA TYPE II
SN 2014dp,Ib,,,E562-G03,,Sc,4.9,36,40,,,14.55,1.08,SUPERNOVA TYPE I
SN 2012ev,Ia,,,A220302-2231,,,,,,,,,,SUPERNOVA TYPE I
SN 1993D,Ia,,,E571-G03,,S0/a,-1.1,39,,,,14.05,1.01,SUPERNOVA TYPE I
SN 2004av,Ia,,,E571-G15,,Sb,3.3,80,37,,,15.02,1.22,SUPERNOVA TYPE I
SN 2001fx,Ib,,,IC5345,,Sab,2,45,153,,,14.88,0.87,SUPERNOVA TYPE I
SN 2004db,Ia,,,NGC7377,,S0,-1,34,101,,,12.07,1.47,SUPERNOVA TYPE I
SN 2009aa,Ia,,,E570-G20,,Sbc,3.7,52,75,,,15.08,0.86,SUPERNOVA TYPE I
SN 2010lx,IIn,0.1,,A044444-2212,,,,,,,,,,SUPERNOVA TYPE II
SN 2004al,II,,,E565-G25,,Sc,5,57,113,,,15.18,0.89,SUPERNOVA TYPE II
SN 2003am,II,,Y,E576-G40,,SBd:pec,7,79,157,,,14.73,1.32,SUPERNOVA TYPE II
SN 1997br,Ia pec,,Y,E576-G40,,SBd:pec,7,79,157,,,14.73,1.32,SUPERNOVA TYPE I
SN 1986O,Ia,,,NGC2227,G,SBc,5.2,58,19,,,13.23,1.33,SUPERNOVA TYPE I
SN 2000bh,Ia,,,E573-G14,,Sc,4.7,51,98,,,15.06,1.14,SUPERNOVA TYPE I
SN 2007fc,Ia,,,E538-G08,,Sb pec,3,76,65,,,16.33,1.2,SUPERNOVA TYPE I
SN 2003hd,II,,,M-04-05-10,,Sbc,4.2,62,145,,,14.9,0.93,SUPERNOVA TYPE II
SN 2008em,Ic:,,,M-04-53-33,,Sbc,4.1,72,100,,,15.41,1.06,SUPERNOVA TYPE I
SN 2006ri,Ia,,,A021557-2154,,,,,,,,,,SUPERNOVA TYPE I
SN 2011I,Ia,,,A095024-2151,,,,,,,,,,SUPERNOVA TYPE I
SN 2003ap,Ia,,,A095052-2151,,,,,,,,,,SUPERNOVA TYPE I
SN 2001af,II,,,M-04-24-01,,SBbc,4,42,170,,,13.85,1.12,SUPERNOVA TYPE II
SN 2001M,Ic,,,NGC3240,,Scd:,5.8,32,85,,,13.97,1.04,SUPERNOVA TYPE I
SN 2004cf,Ib/c,0.247,,A141105-1144,,,,,,,,,,SUPERNOVA TYPE I
SN 1978A,II pec,,,M-04-32-23,,Sb,2.8,63,81,,,15.52,0.91,SUPERNOVA TYPE II
SN 2010lz,Ic,,,A015021-2144,,,,,,,,,,SUPERNOVA TYPE I
SN 2003gf,Ic:,,,M-04-52-26,,IBm,10,58,108,,,15.37,1.11,SUPERNOVA TYPE I
SN 2008cv,Ia,,,E598-G22,,S0,-1.9,24,,,,14.48,0.99,SUPERNOVA TYPE I
SN 2010jh,,,,A223516-2141,,,,,,,,,,SUPERNOVA
SN 2003ev,Ic,,,A131031-2139,,,,,,,,,,SUPERNOVA TYPE I
SN 2007ai,Ia,,,M-04-38-04,,SBc,5.1,41,148,,,14.65,1.03,SUPERNOVA TYPE I
SN 2007cc,Ia,,,E578-G26,,SBc pec:,4.5,49,53,,,14.64,1.25,SUPERNOVA TYPE I
SN 2006dx,II,,,A211034-2110,,,,,,,,,,SUPERNOVA TYPE II
SN 2004ff,IIb,,,E552-G40,,SBab,2,53,50,,,14.22,1.09,SUPERNOVA TYPE II
SN 1975S,II:,,,NGC1325,G,SBbc,4.2,72,56,,,12.16,1.67,SUPERNOVA TYPE II
SN 2007fs,Ia,,,E601-G05,,Sbc,3.7,79,65,,,15.13,1.22,SUPERNOVA TYPE I
SN 2005cw,II,,,IC1439,,SBa,1,49,27,,,14.96,1.12,SUPERNOVA TYPE II
SN 2009du,Ia,,,A133946-2127,,,,,,,,,,SUPERNOVA TYPE I
SN 2010jp,IIn,,,A061630-2124,,,,,,,,,,SUPERNOVA TYPE II
SN 2007at,Ia,,,E580-G44,,Sc,4.7,46,,,,15.61,0.88,SUPERNOVA TYPE I
SN 2013ai,II,,Y,NGC2207,,SBbc,4.3,54,141,,,12.57,1.64,SUPERNOVA TYPE II
SN 2003H,Ib pec,,Y,NGC2207,,SBbc,4.3,54,141,,,12.57,1.64,SUPERNOVA TYPE I
SN 1975A,Ia,,Y,NGC2207,G,SBbc,4.3,54,141,,,12.57,1.64,SUPERNOVA TYPE I
SN 1999ec,Iac,,Y,NGC2207,,SBbc,4.3,54,141,,,12.57,1.64,SUPERNOVA TYPE I
SN 1982E,,,,NGC1332,G,E/S0,-3,,148,,,11.25,1.6,SUPERNOVA
SN 1999gh,Ia,,,NGC2986,,E2,-5,,105,,,11.72,1.5,SUPERNOVA TYPE I
SN 2006ce,Ia,,Y,NGC 908,,SBc,5.1,65,75,,,10.73,1.78,SUPERNOVA TYPE I
SN 1994ai,Ic,,Y,NGC 908,,SBc,5.1,65,75,,,10.73,1.78,SUPERNOVA TYPE I
SN 2001bc,II,0.195,,A094607-2111,,,,,,,,,,SUPERNOVA TYPE II
SN 2003bn,II,,,A100235-2110,,,,,,,,,,SUPERNOVA TYPE II
SN 2007fv,II,,,A230351-2108,,,,,,,,,,SUPERNOVA TYPE II
SN 1996Z,Ia,,Y,NGC2935,,SBb,3.2,43,,,,12.18,1.59,SUPERNOVA TYPE I
SN 2007ho,Ia,,,A212250-2108,,,,,,,,,,SUPERNOVA TYPE I
SN 1962H,II,,,IC4237,G,SBb,3.2,54,140,,,13.31,1.34,SUPERNOVA TYPE II
